c 0094         00 39 20.10 -10 28 55.40 2MASX J00392015-1028549  10895   3  1.60 -22.50 10.94 -10.54  2.36 10941   8 319  349  1.72 0.40   4.9    6.5 10.00 -0.95
c 0095 N       00 39 22.90 -08 49 24.40 ASK 127223                5755   1  0.09 -18.42  7.54    ---  1.86  5761  21 131  194  0.92 0.24   4.2    7.1  9.17  1.63
c 0096         00 39 34.80  00 51 35.80 NGC 0201                  4380   3  1.04 -20.68 10.32 -10.35  1.48  4382   4 225  274  4.14 0.22  15.2   30.6  9.59 -0.74
c 0097         00 39 35.80 -09 11 40.30 NGC 0195                  4894   2  1.51 -21.87 10.49 -10.21  2.68  4916  16 215  312  4.49 0.43   8.5   18.7  9.72 -0.77
c 0098         00 39 38.30  14 39 51.20 2MASX J00393835+1439509   5219   4  1.71 -18.53 10.21 -10.39  1.31  5225  10 264  312  1.40 0.21   6.7   10.8  9.26 -0.95
c 0101 C3      00 41 11.60  15 03 09.70 FGC 0077                  5059   3  1.33 -17.98  9.61 -10.52  2.18  5059   8 263  281  0.97 0.34   3.1    4.5  9.08 -0.53
c 0102 C3      00 41 16.20  15 13 01.50 CGCG 434-030              5269   1  0.82 -18.81  9.42 -09.83  1.55  5245   7 259  278  0.85 0.24   3.9    5.6  9.05 -0.37
c 0103         00 41 23.90 -00 03 53.90 ASK 30011                 3989   6  0.80 -18.23  8.62 -10.60  1.71  3982   6  59   98  0.95 0.16   8.9   11.8  8.86  0.24
c 0104 NC1     00 41 29.50 -10 00 47.50 ASK 127634                4035  11  0.89 -18.39  9.15 -11.95  1.76  3949  10 557  586  1.60 0.39   4.0    6.3  9.08 -0.07
c 0105 C3      00 41 33.90 -10 01 17.10 NGC 0217                  3932   2  1.62 -22.59 10.94 -12.78  1.51  3944   8 556  591  2.72 0.34   6.3   12.6  9.31 -1.63
c 0107 C1      00 41 38.00  00 15 27.40 ASK 30093                 5416   2  0.61 -18.46  9.06 -09.66  2.13  5350  20 267  346  2.09 0.36   5.4    9.9  9.46  0.40
c 0109         00 43 27.80 -00 07 41.10 NGC 0237                  4172   3  1.20 -21.46   ---    ---  3.13  4161   6 290  310  2.58 0.51   4.5    7.9  9.33  9.33
c 0110         00 43 32.40  14 20 33.20 NGC 0234                  4445   4  1.25 -21.13 10.62 -10.39  2.31  4450   3 202  228  3.35 0.32   9.6   16.7  9.50 -1.12
c 0111         00 43 51.87  00 48 07.00 UGC 0466                  5437   5  0.95 -19.79  9.87 -10.34  2.65  5454   6 232  266  3.38 0.40   7.4   13.7  9.69 -0.19
c 0112 NP      00 43 55.30 -09 13 47.50 ASK 127769                6002   1  0.48 -17.76   ---    ---  1.66  5993   4  60   78  0.40 0.13   5.1    5.1  8.84  8.84
c 0113         00 44 23.30  14 17 15.70 PGC 1454298               4192   2  0.51 -16.42  8.15 -09.53  2.46  4173   9  79  106  0.56 0.23   4.1    4.2  8.67  0.52
c 0114         00 45 34.70 -10 59 14.00 ASK 127560                4103   2  0.51 -17.21  8.29 -09.55  1.48  4096   3 131  149  1.03 0.17   6.6   10.0  8.92  0.63
c 0115         00 45 51.92 -09 19 41.50 2MASX J00455191-0919409   6108   5  1.11 -21.06 10.16 -10.54  1.75  6103  11 160  227  2.06 0.24   8.6   15.2  9.57 -0.59
c 0117         00 46 08.80 -10 24 31.00 SHOC 30                   3910   1  0.30 -16.09  7.60 -08.95  1.80  3893   9 378  399  1.18 0.33   3.2    5.6  8.94  1.34
c 0118 N       00 46 47.06 -00 42 02.90 ASK 30486                 4749   2  0.72 -18.26  8.89 -09.88  1.57  4764  18 188  238  0.78 0.22   4.0    6.0  8.93  0.05
c 0119 C1      00 47 46.43 -09 50 06.10 2MASX J00474641-0950063   5729   2  1.74 -22.18 10.89 -11.57  2.45  5655  60 190  361  1.55 0.43   4.1    7.5  9.37 -1.52
c 0120         00 47 47.50 -09 53 58.30 UGCA 14                   1344   2  0.43 -17.44  8.25 -09.54  5.07  1345   2 133  167 13.18 0.61  19.6   37.4  9.06  0.82
c 0121 N       00 49 17.00 -08 46 22.60 PGC 1002925               4389   2  0.14 -17.09  6.86    ---  1.26  4398   4 108  127  0.79 0.13   6.7    9.9  8.87  2.01
c 0122         00 49 52.98  00 57 38.90 CGCG 384-011              4600   4  1.52 -18.21  9.71    ---  2.80  4631  14 266  334  3.59 0.47   6.9   12.9  9.57 -0.14
c 0123 N       00 50 27.50 -08 43 06.60 2MASX J00502753-0843067   4525   2  0.68 -18.93  8.99 -09.69  1.40  4526  13 136  169  0.35 0.17   3.5    3.5  8.54 -0.45
c 0125         00 51 18.50 -09 01 12.40 2MASX J00511854-0901125   5696   4  1.55 -20.66 10.21 -10.50  1.72  5673  51 287  435  1.23 0.33   4.1    6.9  9.28 -0.93
c 0127         00 51 59.60 -00 29 12.10 2MASX J00515961-0029114   1627   1  0.73 -17.96  8.53 -09.87  2.74  1621   1 177  194 11.83 0.35  29.5   53.7  9.18  0.65
c 0128         00 52 52.80  01 12 50.40 CGCG 384-019              1774   3  0.70 -16.60  8.30 -10.18  1.49  1774   3 104  121  0.81 0.15   6.8    8.8  8.09 -0.21
c 0130         00 53 29.92 -08 46 04.00 NGC 0291                  5689   3  1.45 -21.72 10.57 -10.39  1.23  5675   9 314  363  2.31 0.21   7.4   17.3  9.55 -1.02
c 0132 C3      00 56 42.70 -09 54 49.90 NGC 0309                  5648   3  1.48 -22.71 10.98 -12.57  2.75  5656   1 206  233 15.91 0.38  29.4   65.8 10.39 -0.59
c 0133 C1      00 56 44.90 -09 48 17.70 ASK 128369                5691   9 -0.02 -16.85  7.81 -10.30  2.63  5657   1 199  229 11.68 0.36  25.6   51.5 10.26  2.45
c 0134         00 57 41.90  15 04 04.90 CGCG 435-026              5464   3  0.99 -19.26  9.61 -10.06  1.45  5462   6 186  208  0.92 0.19   4.8    7.6  9.12 -0.49
c 0135         00 57 56.60  00 52 08.90 ASK 31033                 2281   4  0.41 -15.53  7.57 -09.10  2.40  2269   5  86  105  0.57 0.23   4.9    4.2  8.15  0.58
c 0136         00 58 55.50  13 43 15.00 PGC 3126941               4942   2  0.60 -16.41  8.18 -09.64  1.45  4933   5  77   92  0.30 0.13   4.3    3.9  8.55  0.37
c 0137 C3      00 59 40.10  15 19 51.50 UGC 0615                  5483   2  1.35 -20.41 10.56 -11.80  1.60  5496   7 346  375  1.33 0.28   5.7    7.3  9.29 -1.28
c 0138         00 59 42.10  00 54 59.70 UGC 0618                  5287   5  0.74 -19.51  9.49 -10.55  2.23  5288   3 157  182  2.73 0.28   9.6   16.0  9.57  0.07
c 0139 C3      01 00 04.10 -11 04 57.30 2MASX J01000412-1104577   5408   3  1.51 -21.79 10.58 -11.92  2.40  5414  10 145  227  3.83 0.33  10.9   21.6  9.73 -0.85
c 0140         01 00 45.80 -09 11 08.50 NGC 0341                  4538   4  1.38 -21.73 10.49 -10.89  2.78  4548  17 148  307  6.00 0.45  13.1   29.1  9.78 -0.72
c 0141         01 01 16.60 -10 37 40.80 2MASX J01011685-1037394   4023   3  0.70 -19.47  9.22 -09.66  1.79  4006   4 196  209  1.02 0.24   4.1    6.7  8.90 -0.32
c 0142         01 01 19.50 -09 50 42.90 2MASX J01011945-0950434   4591   2  1.37 -21.10 10.30 -10.45  1.39  4590  17 203  269  1.22 0.21   5.3   10.1  9.09 -1.21
c 0143 N       01 01 43.60 -09 19 00.70 PGC 992557                4519   2  0.38 -17.19  8.29 -09.37  2.09  4520   8 108  129  0.71 0.22   3.9    5.4  8.85  0.55
c 0144         01 02 00.40  15 34 57.70 PGC 3128241               4354   3  0.69 -16.97  8.60 -09.80  1.89  4356  30 142  212  0.74 0.25   3.3    5.4  8.83  0.23
c 0145         01 02 39.20 -09 08 37.10 PGC 4010442               4543   4  0.40 -16.68  8.03 -09.41  1.82  4525   7  82  102  0.57 0.17   3.8    5.6  8.75  0.72
c 0157 N       01 06 50.99 -00 34 13.70 PGC 1140108               5211   2  0.78 -18.63  8.95 -09.76  2.37  5224   6  31   47  0.20 0.15   4.0    2.4  8.41 -0.53
c 0159 C1      01 07 14.20  13 57 18.40 IC 1620                  11436   3  1.42 -21.39 11.40 -10.94  2.10 11520  30 491  623  3.73 0.47   6.1   12.9 10.38 -1.02
c 0160 C3      01 07 22.60  00 55 33.40 NGC 0391                  5345   2  1.45 -20.61 10.72 -12.15  1.74  5371  23  71  145  0.62 0.19   4.6    6.9  8.94 -1.79
c 0161 NC2     01 09 07.90  01 07 15.70 SHOC 053                  1167   2  0.05 -14.54  7.03 -08.78  2.34  1167   3  42   56  0.61 0.16   6.8    6.6  7.60  0.57
c 0162 C1      01 09 21.99  14 20 32.20 UGC 0717                 11505   3  1.57 -21.92 11.37 -12.40  2.31 11548  23 500  564  1.46 0.49   3.7    4.5  9.97 -1.40
c 0163 C1      01 09 28.80  14 21 47.20 UGC 0719                 11250   3  1.47 -21.25 11.03 -11.61  2.20 11350  24 201  267  0.98 0.32   3.7    5.0  9.78 -1.25
c 0165         01 10 20.80 -09 34 10.30 2MASX J01102076-0934104   7111   4  1.01 -21.40 10.16 -10.10  2.75  7112  17 243  318  3.21 0.45   6.3   12.2  9.89 -0.26
c 0166         01 11 35.50  00 27 39.70 2MASX J01113551+0027460   4549   4  1.03 -18.36  9.43 -10.12  1.72  4538   5 189  205  0.92 0.23   4.0    6.4  8.96 -0.47
c 0167         01 12 07.75 -01 00 02.40 2MASX J01120777-0100022   3726   2  0.66 -17.80  8.54 -09.66  1.46  3725   5 152  171  0.82 0.18   4.9    7.5  8.74  0.20
c 0168         01 12 08.63 -00 24 36.70 IC 1643                   5455   3  1.44 -21.45 10.48 -12.17  2.22  5456  12 249  291  2.04 0.35   4.9    9.5  9.47 -1.02
c 0173 N       01 14 20.40  00 55 01.90 MCG +00-04-049            1107   4  0.40 -14.25  7.75    ---  2.58  1108   5  85  118  1.77 0.26   9.3   12.3  8.02  0.27
c 0174 C3      01 14 36.80  01 10 46.90 UGC 0790                  4630   5  1.05 -19.48  9.84 -11.14  1.41  4632   3  90  109  0.79 0.13   7.0    9.7  8.91 -0.92
c 0177 R       01 15 30.40 -00 51 39.50 NGC 450                   1756   3  0.70 -19.51  9.25 -10.21  2.89  1757   1 167  197 19.48 0.38  44.7   86.1  9.46  0.21
c 0179         01 17 30.50 -09 17 48.30 PGC 4647                  1942   2  0.42 -16.62  7.90 -09.31  2.48  1949   2 122  145  3.65 0.28  13.1   22.1  8.83  0.92
c 0180 N       01 17 48.39 -08 36 27.10 MCG -02-04-020            4081  13  0.67 -18.30  9.08 -11.00  4.05  4065   4 125  151  3.27 0.46   8.4   11.9  9.41  0.33
