Source 	RA 	Dec 	Name 	V opt 	g−z 	M g 	M ⋆ 	sSFR 	rms 	V HI 	W 50 	W 20 	F HI 	SNR 	S / N 	M HI 	MHI/M⋆	
2311 	15 24 50.10 	03 04 53.10 	SHOC 505 	1753 ± 1 	0.38 	−14.87 	7.56 	−9.41 	0.38 	1745 ± 5 	80 	125 	0.40 ± 0.04 	11.2 	19.3 	7.77 	0.22
2316 	15 27 44.50 	09 41 56.80 	ASK 421256 	1820 ± 1 	0.51 	−15.62 	7.96 	−9.67 	0.41 	1818 ± 3 	46 	78 	0.56 ± 0.03 	15.7 	32.4 	7.95 	−0.01
2317 	15 27 53.00 	25 38 37.50 	PGC 1744110 	1470 ± 1 	0.38 	−13.64 	6.91 	−9.26 	0.31 	1477 ± 9 	37 	78 	0.09 ± 0.03 	6.8 	8.1 	6.99 	0.09
2325M 	15 32 49.90 	36 12 13.50 	ASK 331970 	1993 ± 1 	0.54 	−16.01 	7.98 	−9.56 	0.50 	2002 ± 3 	48 	68 	0.21 ± 0.04 	7.8 	9.9 	7.61 	−0.37
2327 	15 33 36.75 	33 21 33.60 	ASK 313250 	1999 ± 2 	0.36 	−14.56 	7.40 	−9.43 	0.41 	1994 ± 8 	52 	93 	0.19 ± 0.04 	7.3 	10.5 	7.56 	0.16
2349 	16 00 13.80 	17 50 53.80 	PGC 1543427 	2053 ± 1 	0.46 	−15.64 	7.71 	−9.42 	0.51 	2057 ± 3 	79 	106 	0.59 ± 0.05 	11.9 	21.1 	8.08 	0.37
2373 	16 35 20.70 	17 45 55.10 	Mrk 0886 	2740 ± 1 	0.63 	−17.82 	8.94 	−9.52 	0.34 	2754 ± 5 	86 	129 	0.39 ± 0.04 	11.3 	19.9 	8.15 	−0.79
2402 	21 13 07.70 	01 13 47.20 	2MASX J21130776+0113480 	4157 ± 2 	0.75 	−18.01 	8.97 	−9.78 	0.70 	4165 ± 10 	146 	187 	0.49 ± 0.09 	5.8 	9.3 	8.61 	−0.36
2407M 	21 16 27.60 	−00 49 35.30 	NGC 7047 	5783 ± 3 	1.48 	−20.60 	10.71 	−11.52 	0.67 	5796 ± 6 	422 	458 	2.11 ± 0.14 	8.4 	24.7 	9.53 	−1.18
2410M 	21 17 34.60 	11 00 43.20 	ASK 138402 	3271 ± 2 	0.47 	−15.37 	7.50 	−9.18 	0.54 	3266 ± 6 	59 	99 	0.36 ± 0.05 	9.4 	14.3 	8.27 	0.77
2416 	21 28 29.10 	10 04 52.60 	2MASX J21282910+1004527 	4929 ± 2 	1.02 	−17.63 	9.10 	−10.14 	0.65 	4933 ± 5 	178 	192 	0.32 ± 0.09 	3.9 	5.9 	8.57 	−0.53
2423 	21 42 22.80 	12 29 53.80 	UGC 11794 	5848 ± 4 	1.42 	−20.12 	10.50 	−11.28 	0.46 	5855 ± 6 	344 	384 	1.22 ± 0.09 	9.6 	22.8 	9.30 	−1.19
2432 	21 50 38.40 	13 17 17.40 	CGCG 427-027 	6045 ± 2 	1.50 	−20.81 	10.88 	−11.40 	0.60 	6060 ± 6 	208 	231 	0.41 ± 0.09 	5.6 	7.8 	8.87 	−2.02
2433 	21 52 22.50 	−01 10 15.70 	ASK 21400 	4770 ± 1 	0.55 	−16.57 	8.14 	−9.48 	1.31 	4753 ± 6 	90 	109 	0.33 ± 0.13 	4.2 	4.3 	8.55 	0.41
2436 	21 54 47.70 	00 13 45.70 	ASK 21641 	2984 ± 1 	0.48 	−15.76 	7.88 	−9.47 	0.43 	2981 ± 4 	73 	107 	0.47 ± 0.04 	12.4 	20.9 	8.30 	0.42
2452 	22 26 19.50 	12 15 02.00 	ASK 140946 	3527 ± 8 	0.49 	−15.59 	7.72 	−9.51 	0.32 	3544 ± 1 	94 	111 	0.41 ± 0.03 	12.9 	20.9 	8.39 	0.67
2461 	22 33 49.80 	00 28 58.30 	ASK 23755 	4642 ± 1 	0.47 	−16.75 	8.22 	−9.39 	0.89 	4606 ± 22 	59 	161 	0.52 ± 0.11 	6.7 	12.2 	8.72 	0.51
2534 	23 25 30.20 	14 06 20.50 	ASK 144855 	3996 ± 1 	0.54 	−15.91 	7.91 	−9.49 	0.29 	4001 ± 4 	44 	66 	0.10 ± 0.02 	8.0 	8.2 	7.87 	−0.04 
